i,"{'k': 0.04773169012883399, 'b': 0.952268309871166}"
ib,"{'c': 0.9999983058060838, 'f': 1.6941939161372835e-06}"
ibc,"{'c': 0.9847531968275542, 'f': 0.015246803172445733}"
ibf,"{'c': 1.725069088858338e-06, 'f': 0.9999982749309111}"
ik,"{'k': 0.9436970867659238, 'b': 0.05630291323407615}"
ikb,"{'c': 0.0736455302666078, 'f': 0.9263544697333921}"
ikbc,"{'c': 0.9226698558310564, 'f': 0.07733014416894349}"
ikbf,"{'c': 0.9209259628480394, 'f': 0.07907403715196061}"
ikk,"{'k': 0.22406445428759014, 'b': 0.7759355457124097}"
ikkb,"{'c': 0.341443343403023, 'f': 0.6585566565969769}"
ikkbc,"{'c': 0.9999997836771218, 'f': 2.1632287823348887e-07}"
ikkbf,"{'c': 2.144902638231171e-05, 'f': 0.9999785509736178}"
