i,"{'k': 0.15947388637842055, 'b': 0.8405261136215795}"
ib,"{'c': 0.9999940693783874, 'f': 5.930621612463261e-06}"
ibc,"{'c': 0.9466275855368491, 'f': 0.05337241446315092}"
ibf,"{'c': 6.2439499747901935e-06, 'f': 0.9999937560500252}"
ik,"{'k': 0.8245557649117882, 'b': 0.1754442350882119}"
ikb,"{'c': 0.1821904840965532, 'f': 0.8178095159034469}"
ikbc,"{'c': 0.9226698558310564, 'f': 0.07733014416894349}"
ikbf,"{'c': 0.9209259628480394, 'f': 0.07907403715196061}"
ikk,"{'k': 0.27133701157197426, 'b': 0.7286629884280258}"
ikkb,"{'c': 0.341443343403023, 'f': 0.6585566565969769}"
ikkbc,"{'c': 0.9999991831933271, 'f': 8.168066728640634e-07}"
ikkbf,"{'c': 7.943180207164682e-05, 'f': 0.9999205681979283}"
