i,"{'k': 0.07163298080732722, 'b': 0.9283670191926727}"
ib,"{'c': 0.9999974324260823, 'f': 2.5675739176598784e-06}"
ibc,"{'c': 0.9768932519573607, 'f': 0.023106748042639354}"
ibf,"{'c': 2.632203514955221e-06, 'f': 0.9999973677964851}"
ik,"{'k': 0.9167888224484639, 'b': 0.08321117755153613}"
ikb,"{'c': 0.10281430606549702, 'f': 0.8971856939345029}"
ikbc,"{'c': 0.9226698558310564, 'f': 0.07733014416894349}"
ikbf,"{'c': 0.9209259628480394, 'f': 0.07907403715196061}"
ikk,"{'k': 0.3169139183317622, 'b': 0.6830860816682378}"
ikkb,"{'c': 0.341443343403023, 'f': 0.6585566565969769}"
ikkbc,"{'c': 0.9999996424569205, 'f': 3.57543079509352e-07}"
ikkbf,"{'c': 3.5288743663718095e-05, 'f': 0.9999647112563363}"
