i,"{'k': 0.06227748400484272, 'b': 0.9377225159951572}"
ib,"{'c': 0.9999977763262925, 'f': 2.223673707499268e-06}"
ibc,"{'c': 0.9799881676105665, 'f': 0.020011832389433513}"
ibf,"{'c': 2.2735387092079886e-06, 'f': 0.9999977264612908}"
ik,"{'k': 0.9272232521509511, 'b': 0.07277674784904893}"
ikb,"{'c': 0.0918952268276162, 'f': 0.9081047731723837}"
ikbc,"{'c': 0.9226698558310564, 'f': 0.07733014416894349}"
ikbf,"{'c': 0.9209259628480394, 'f': 0.07907403715196061}"
ikk,"{'k': 0.28054974747358297, 'b': 0.7194502525264169}"
ikkb,"{'c': 0.341443343403023, 'f': 0.6585566565969769}"
ikkbc,"{'c': 0.9999997010319371, 'f': 2.989680629265701e-07}"
ikkbf,"{'c': 2.956377876901253e-05, 'f': 0.999970436221231}"
