i,"{'k': 0.13040024118995405, 'b': 0.869599758810046}"
ib,"{'c': 0.9999952100876077, 'f': 4.789912392188739e-06}"
ibc,"{'c': 0.9568933824644574, 'f': 0.043106617535542596}"
ibf,"{'c': 4.997240287403478e-06, 'f': 0.9999950027597125}"
ik,"{'k': 0.8539827863255082, 'b': 0.1460172136744919}"
ikb,"{'c': 0.1597643768171398, 'f': 0.8402356231828602}"
ikbc,"{'c': 0.9226698558310564, 'f': 0.07733014416894349}"
ikbf,"{'c': 0.9209259628480394, 'f': 0.07907403715196061}"
ikk,"{'k': 0.2736397299731028, 'b': 0.7263602700268972}"
ikkb,"{'c': 0.341443343403023, 'f': 0.6585566565969769}"
ikkbc,"{'c': 0.9999993454722501, 'f': 6.545277498468694e-07}"
ikkbf,"{'c': 6.398310251280833e-05, 'f': 0.9999360168974872}"
