i,"{'k': 0.07960533756933921, 'b': 0.9203946624306607}"
ib,"{'c': 0.9999971372709296, 'f': 2.8627290703237003e-06}"
ibc,"{'c': 0.9742370145400252, 'f': 0.025762985459974887}"
ibf,"{'c': 2.941570856594394e-06, 'f': 0.9999970584291434}"
ik,"{'k': 0.907994584664761, 'b': 0.09200541533523904}"
ikb,"{'c': 0.11165928155188803, 'f': 0.8883407184481119}"
ikbc,"{'c': 0.9226698558310564, 'f': 0.07733014416894349}"
ikbf,"{'c': 0.9209259628480394, 'f': 0.07907403715196061}"
ikk,"{'k': 0.31980287659521656, 'b': 0.6801971234047834}"
ikkb,"{'c': 0.341443343403023, 'f': 0.6585566565969769}"
ikkbc,"{'c': 0.9999995991944308, 'f': 4.0080556913331665e-07}"
ikkbf,"{'c': 3.950313201077755e-05, 'f': 0.9999604968679893}"
