i,"{'k': 0.04090709389544965, 'b': 0.9590929061045504}"
ib,"{'c': 0.9999985520685837, 'f': 1.4479314163644338e-06}"
ibc,"{'c': 0.9869694240597143, 'f': 0.013030575940285677}"
ibf,"{'c': 1.471506900375305e-06, 'f': 0.9999985284930996}"
ik,"{'k': 0.9515334743784317, 'b': 0.04846652562156826}"
ikb,"{'c': 0.06449657856882109, 'f': 0.9355034214311788}"
ikbc,"{'c': 0.9226698558310564, 'f': 0.07733014416894349}"
ikbf,"{'c': 0.9209259628480394, 'f': 0.07907403715196061}"
ikk,"{'k': 0.19248327798516637, 'b': 0.8075167220148337}"
ikkb,"{'c': 0.341443343403023, 'f': 0.6585566565969769}"
ikkbc,"{'c': 0.9999998200630367, 'f': 1.7993696341372478e-07}"
ikkbf,"{'c': 1.786247458829657e-05, 'f': 0.9999821375254117}"
