i,"{'k': 0.08957448507269097, 'b': 0.910425514927309}"
ib,"{'c': 0.9999967654427927, 'f': 3.234557207285955e-06}"
ibc,"{'c': 0.970890760394352, 'f': 0.029109239605648086}"
ibf,"{'c': 3.333344485144673e-06, 'f': 0.9999966666555149}"
ik,"{'k': 0.8971218250166119, 'b': 0.10287817498338814}"
ikb,"{'c': 0.12216934480410066, 'f': 0.8778306551958992}"
ikbc,"{'c': 0.9226698558310564, 'f': 0.07733014416894349}"
ikbf,"{'c': 0.9209259628480394, 'f': 0.07907403715196061}"
ikk,"{'k': 0.31711504003858826, 'b': 0.6828849599614116}"
ikkb,"{'c': 0.341443343403023, 'f': 0.6585566565969769}"
ikkbc,"{'c': 0.9999995466389974, 'f': 4.5336100264665276e-07}"
ikkbf,"{'c': 4.4606897415097664e-05, 'f': 0.9999553931025849}"
