i,"{'k': 0.06821706190437538, 'b': 0.9317829380956245}"
ib,"{'c': 0.9999975582990848, 'f': 2.441700915239264e-06}"
ibc,"{'c': 0.9780260409415551, 'f': 0.021973959058444945}"
ibf,"{'c': 2.5007030525634697e-06, 'f': 0.9999974992969475}"
ik,"{'k': 0.9205842562901009, 'b': 0.07941574370989916}"
ikb,"{'c': 0.09889728265035624, 'f': 0.9011027173496436}"
ikbc,"{'c': 0.9226698558310564, 'f': 0.07733014416894349}"
ikbf,"{'c': 0.9209259628480394, 'f': 0.07907403715196061}"
ikk,"{'k': 0.3067248440244165, 'b': 0.6932751559755834}"
ikkb,"{'c': 0.341443343403023, 'f': 0.6585566565969769}"
ikkbc,"{'c': 0.999999663458699, 'f': 3.3654130117503436e-07}"
ikkbf,"{'c': 3.323859381831744e-05, 'f': 0.9999667614061818}"
