i,"{'k': 0.042111294203584615, 'b': 0.9578887057964155}"
ib,"{'c': 0.9999985087149168, 'f': 1.4912850831376875e-06}"
ibc,"{'c': 0.986579264913054, 'f': 0.013420735086945986}"
ibf,"{'c': 1.5160754825549933e-06, 'f': 0.9999984839245174}"
ik,"{'k': 0.9501457039577007, 'b': 0.04985429604229927}"
ikb,"{'c': 0.06613988429148869, 'f': 0.9338601157085112}"
ikbc,"{'c': 0.9226698558310564, 'f': 0.07733014416894349}"
ikbf,"{'c': 0.9209259628480394, 'f': 0.07907403715196061}"
ikk,"{'k': 0.19812489215517776, 'b': 0.8018751078448222}"
ikkb,"{'c': 0.341443343403023, 'f': 0.6585566565969769}"
ikkbc,"{'c': 0.9999998137894418, 'f': 1.8621055820818866e-07}"
ikkbf,"{'c': 1.8481469885242777e-05, 'f': 0.9999815185301147}"
