i,"{'k': 0.20523173646275533, 'b': 0.7947682635372447}"
ib,"{'c': 0.9999922155175756, 'f': 7.78448242442444e-06}"
ibc,"{'c': 0.9299437646617251, 'f': 0.07005623533827479}"
ibf,"{'c': 8.319494411381164e-06, 'f': 0.9999916805055886}"
ik,"{'k': 0.7802741562897941, 'b': 0.21972584371020581}"
ikb,"{'c': 0.21194055561988187, 'f': 0.788059444380118}"
ikbc,"{'c': 0.9226698558310564, 'f': 0.07733014416894349}"
ikbf,"{'c': 0.9209259628480394, 'f': 0.07907403715196061}"
ikk,"{'k': 0.2460746190718382, 'b': 0.7539253809281619}"
ikkb,"{'c': 0.341443343403023, 'f': 0.6585566565969769}"
ikkbc,"{'c': 0.9999989361614747, 'f': 1.0638385252136113e-06}"
ikkbf,"{'c': 0.00010264311068874199, 'f': 0.9998973568893113}"
