i,"{'k': 0.04619048360256292, 'b': 0.953809516397437}"
ib,"{'c': 0.9999983615395744, 'f': 1.6384604255032544e-06}"
ibc,"{'c': 0.9852547676800144, 'f': 0.014745232319985589}"
ibf,"{'c': 1.6675987516322465e-06, 'f': 0.9999983324012482}"
ik,"{'k': 0.9454607402325418, 'b': 0.0545392597674581}"
ikb,"{'c': 0.07161382127889637, 'f': 0.9283861787211035}"
ikbc,"{'c': 0.9226698558310564, 'f': 0.07733014416894349}"
ikbf,"{'c': 0.9209259628480394, 'f': 0.07907403715196061}"
ikk,"{'k': 0.21686408708857963, 'b': 0.7831359129114203}"
ikkb,"{'c': 0.341443343403023, 'f': 0.6585566565969769}"
ikkbc,"{'c': 0.9999997920979163, 'f': 2.0790208370920985e-07}"
ikkbf,"{'c': 2.0619748350938354e-05, 'f': 0.9999793802516491}"
