i,"{'k': 0.11950662904610898, 'b': 0.880493370953891}"
ib,"{'c': 0.9999956303242801, 'f': 4.3696757198039244e-06}"
ibc,"{'c': 0.9606752935398538, 'f': 0.03932470646014626}"
ibf,"{'c': 4.543633811414777e-06, 'f': 0.9999954563661886}"
ik,"{'k': 0.8652809105633754, 'b': 0.13471908943662467}"
ikb,"{'c': 0.1505016376349442, 'f': 0.8494983623650558}"
ikbc,"{'c': 0.9226698558310564, 'f': 0.07733014416894349}"
ikbf,"{'c': 0.9209259628480394, 'f': 0.07907403715196061}"
ikk,"{'k': 0.2896538925328458, 'b': 0.7103461074671542}"
ikkb,"{'c': 0.341443343403023, 'f': 0.6585566565969769}"
ikkbc,"{'c': 0.9999993963812421, 'f': 6.036187578139689e-07}"
ikkbf,"{'c': 5.910334227552284e-05, 'f': 0.9999408966577245}"
